# Curated calibration-free line list: the 54 fully-filled rows (every column non-empty) of
# Boltzmann_lines_v15.txt from the CF spark-OES project
# (~/data/Running_projects/24_0011_CF_spark/CF SPARK/Methods/Git/CF_OES/Boltzmann_lines_v15.txt,
# R ground truth: .../Methods/Code/R/CF_SparkOES/MultiElemSBplot.R).  Vacuum wavelengths [nm],
# energies [eV], Ak [1/s]; lineLeft/lineRight = integration window, bgrLeft/bgrRight = background window.
# Per element: Fe 19, Ni 9, Cu 8, Mn 7, C 3, Cr 3, Si 3, Al 2.  Copied verbatim (tab-separated).
Elem_name	ion.state	Wl	Ei	Ek	Ak	gi	gk	lineLeft	lineRight	bgrLeft	bgrRight	coment
Al	II	167.079	0	7.420705	1410000000	1	3	166.99	167.2	167.21	167.25	none
Al	II	176.773	4.659052	11.672797	513000000	5	3	176.71	176.84	175.39	175.43	none
Cu	II	197.996	2.83268156	9.09464957	96000000	5	5	197.93	198.03	198.09	198.14	none
Cu	II	204.446	2.71881633	8.78322249	142000000	7	7	204.37	204.5	204.31	204.36	none
Cu	II	211.277	3.2563892	9.12471804	350000000	5	3	211.2	211.33	211.64	211.69	none
Cu	II	212.365	3.2563892	9.09464957	220000000	5	5	212.29	212.4	212.2	212.25	none
Cu	II	212.672	2.83268156	8.6625261	141000000	5	5	212.62	212.72	212.2	212.25	none
Cu	II	213.665	2.71881633	8.52154401	459000000	7	9	213.61	213.7	213.97	213.99	none
Cu	II	214.966	2.71881633	8.48643755	88000000	7	7	214.93	215	215.01	215.047	none
Cu	II	215.249	8.6625261	14.4225753	259000000	5	7	215.21	215.26	215.4	215.42	none
Si	II	152.672	0	8.121023	381000000	2	2	152.59	152.79	152.9	153	nice
Si	II	153.345	0.035613	8.121023	752000000	4	2	153.26	153.47	152.9	153	nice
Si	II	180.8	0	6.857485	2540000	2	4	180.75	180.84	181.46	181.48	small
Cr	II	205.626	0	6.02960685	122000000	6	8	205.47	205.71	205.33	205.46	selfabs
Cr	II	206.224	0	6.01212482	119000000	6	6	206.15	206.34	206.08	206.15	clear
Cr	II	206.616	0	6.00069536	120000000	6	4	206.56	206.64	206.08	206.15	interf
Mn	II	171.183	3.803774	11.046563	150000000	11	9	171.11	171.23	171.08	171.12	none
Mn	II	173.355	1.776181	8.928232	170000000	9	9	173.29	173.4	172.78	172.82	interf
Mn	II	182.708	6.9055496	13.69148	650000000	9	9	182.64	182.75	182.6	182.62	none
Mn	II	185.327	1.776181	8.4662193	180000000	9	7	185.28	185.38	185.58	185.6	none
Mn	II	191.51	1.776181	8.2502234	117000000	9	11	191.45	191.61	191.22	191.24	strong
Mn	II	192.125	1.8094049	8.2627156	187000000	7	9	192.05	192.178	191.22	191.24	strong
Mn	II	223.068	4.3283838	9.886494	49000000	9	11	223.012	223.11	223.33	223.37	none
Fe	II	155.909	0.23217279	8.184541	110000000	10	10	155.78	155.98	155.73	155.788	interference
Fe	II	156.379	0.30129858	8.2297382	130000000	8	8	156.291	156.487	155.73	155.788	interference
Fe	II	156.682	0.23217279	8.1452725	52000000	10	10	156.61	156.75	155.73	155.788	interference
Fe	II	158.495	0.35186476	8.1744466	58000000	6	8	158.39	158.57	155.73	155.788	interference
Fe	II	158.829	0.38651921	8.1926616	48000000	4	6	158.73	158.93	155.73	155.788	interference
Fe	II	160.845	0	7.708299	191000000	10	8	160.71	160.99	155.73	155.788	interference
Fe	II	161.847	0.04770753	7.708299	55300000	8	8	161.75	161.97	155.73	155.788	interference
Fe	II	162.169	0.04770753	7.6931007	132000000	8	6	162.07	162.6	155.73	155.788	interference
Fe	II	162.552	0.30129858	7.9286411	40000000	8	10	162.46	162.67	155.73	155.788	interference
Fe	II	179.337	2.02954815	8.9430267	57000000	8	10	179.28	179.37	179.23	179.26	low_int
Fe	II	188.873	2.57958587	9.1439928	142000000	10	10	188.81	188.91	189	189.01	small
Fe	II	200.103	2.52186911	8.7179023	95000000	12	10	200.06	200.14	199.8	199.9	ok
Fe	II	223.461	2.57958587	8.1279417	40000000	10	10	223.4	223.5	223.3	223.36	ok
Fe	II	244.004	3.15276806	8.2340029	225000000	12	14	243.957	244.03	243.91	243.93	interf
Fe	I	299.53	0.05156912	4.19086081	43900000	7	5	299.46	299.59	299.35	299.44	interf
Fe	I	322.672	2.39920471	6.24162851	118000000	11	13	322.62	322.74	322.77	322.79	ok
Fe	I	356.64	0.95815732	4.43461275	42900000	7	9	356.56	356.71	356.37	356.41	ok
Fe	I	404.696	1.48486439	4.54850612	86200000	9	9	404.6	404.8	404.96	405	ok
Fe	I	406.474	1.55735733	4.60759327	66500000	7	7	406.38	406.56	406.23	406.28	ok
Ni	II	216.623	1.040711	6.764212	240000000	10	10	216.55	216.67	218.35	218.38	none
Ni	II	216.978	1.156778	6.870935	158000000	8	8	216.92	217.03	218.35	218.38	none
Ni	II	218.528	1.322154	6.995745	290000000	4	4	218.48	218.56	218.35	218.38	none
Ni	II	221.717	1.040711	6.632719	340000000	10	12	221.668	221.75	221.79	221.81	none
Ni	II	227.091	1.156778	6.616438	156000000	8	10	227.01	227.143	227.17	227.2	none
Ni	II	227.947	1.680034	7.119193	280000000	8	6	227.91	227.98	228.19	228.23	none
Ni	I	229.069	0	5.412527	210000000	9	7	229.03	229.09	229.01	229.03	none
Ni	II	230.371	1.156778	6.538734	290000000	8	6	230.338	230.389	229.01	229.03	none
Ni	II	231.675	1.040711	6.392359	288000000	10	8	231.6	231.72	231.73	231.76	none
C	I	156.144	0.005382583	7.945771557	117000000	5	7	156.1098	156.193	155.73	155.77	clear
C	I	165.701	0.005382583	7.48779869	261000000	5	5	165.64	165.77	166.5	166.58	interf
C	I	193.091	1.2637284	7.68476777	339000000	5	3	193.06	193.133	193.377	193.401	interf Ni
