group,n,ln_ratio,ratio,sigma
all,79773,-0.17796075796317498,0.836975267458599,0.34218202676391934
Al,1613,-0.9388103154810887,0.3910928357939678,1.4228974367770175
B,40,-0.5217227440298525,0.5934972229621674,0.056591434731516135
C,595,-0.4830325467733331,0.6169097446251747,0.16816439950440384
Co,5120,-0.7096585983048148,0.4918120742784907,0.9411422365461903
Cr,11468,-0.29352484550626184,0.7456306970618068,0.3059190118351463
Cu,3967,-0.2893692353397715,0.7487356946784216,0.33111517319630085
Fe,29897,-0.08643402669452617,0.9171960572443761,0.2783646945699113
Mn,5367,-0.0925373713089976,0.9116151420767048,0.3031200454677846
Ni,9190,-0.07586012155624147,0.926945857235462,0.49708321408162737
Si,4920,-0.27237589623061464,0.7615679367623053,0.4253901655306902
Ti,5347,-0.2985676779146804,0.7418800712548848,0.32958313704448083
V,814,-0.19132442536543243,0.8258646132556644,0.23081663676806485
W,1435,0.08023118532224384,1.0835375366960467,0.13881137105811067
