line,el,wl,Ek,n,bias,scatter,within,bias_direct,scatter_direct,n_direct,f_direct,f_rescued,blend_median,weight
33,Fe,155.90899658203125,8.184540748596191,1053.0,-0.7799439152150285,0.450885605140427,0.30285686776790705,,,,0.0,0.3147041243275553,0.1499209702014923,0.0022053652456849207
39,Fe,156.37899780273438,8.229738235473633,3340.0,-0.5068092656898955,0.31737927574028874,0.2713961584536295,,,,0.0,0.9982068141063957,0.008062262553721666,0.002296216537080689
41,Fe,156.6820068359375,8.145272254943848,3346.0,-0.5495945122763928,0.31850394180684216,0.27751500172419263,,,,0.0,1.0,0.04147045686841011,0.00245980033047267
45,Fe,158.4949951171875,8.174447059631348,3346.0,-0.09781761166138381,0.31698006910650683,0.25236027913917397,,,,0.0,1.0,0.013889065012335777,0.003109105978992206
46,Fe,158.82899475097656,8.19266128540039,3346.0,0.032793566992147305,0.32826984161547007,0.2620203425249909,,,,0.0,1.0,0.0033863047137856483,0.0048458980792769986
52,Fe,160.84500122070312,7.708299160003662,2263.0,-0.5242793542235944,0.33553136597798733,0.2663870883298817,-0.46078619955946465,0.2551364500013921,1083.0,0.3236700537955768,0.6763299462044232,0.09407560527324677,0.0025814199979511663
53,Fe,161.8470001220703,7.708299160003662,1794.0,-0.2068148196033519,0.32914757351736645,0.2702370099235364,-0.13911519499021807,0.24260655035455997,1552.0,0.4638374178123132,0.5361625821876868,0.014964824076741934,0.0017144282994228383
54,Fe,162.16900634765625,7.693100929260254,3249.0,-0.24126559516571433,0.2991848048414716,0.29402563793410763,-0.2341452052819264,0.16231667793747745,92.0,0.02749551703526599,0.9710101613867305,0.01230834610760212,0.0020065753209542224
56,Fe,162.552001953125,7.928641319274902,3341.0,0.05687704355014489,0.30525516438573874,0.2559883920958246,,,,0.0,0.9985056784219964,0.15800520777702332,0.00506771559297321
78,Fe,171.3000030517578,7.53913688659668,641.0,-0.0030917557041476584,0.26483677610500955,0.2060763271479122,-0.23647055184778765,0.26783193762137314,1706.0,0.5098625224148237,0.19157202630005976,0.21116574108600616,0.0017818550191564721
93,Fe,179.33700561523438,8.943026542663574,235.0,0.6501045128511578,0.3998911873261973,0.2663893234272155,0.5740047711473579,0.3968749391930721,3111.0,0.9297668858338315,0.07023311416616856,0.12391145527362823,0.9951213143602783
117,Fe,188.8730010986328,9.14399242401123,3006.0,0.7224327430497937,0.397017307169225,0.2939314807146458,0.260757838386823,0.1887996790736363,340.0,0.10161386730424388,0.8983861326957562,0.3151869624853134,0.9773663127246298
142,Fe,200.10299682617188,8.717902183532715,3346.0,0.8312365891615059,0.33541711705403787,0.2710564229176788,,,,0.0,1.0,0.11247077956795692,0.999481785510841
224,Fe,223.46099853515625,8.127942085266113,3346.0,0.9207151827146305,0.36503198039489315,0.28591368674552814,,,,0.0,1.0,0.03916536271572113,0.9992227265017652
292,Fe,244.00399780273438,8.234003067016602,3346.0,-0.5802004856222069,0.465200706505546,0.3600916637790498,,,,0.0,1.0,0.1114165298640728,0.001835233311018504
300,Fe,248.40199279785156,4.991271018981934,241.0,-3.878672745203989,0.937988837769661,0.1794692704456526,,,,0.0,0.07202630005977287,0.6543893814086914,0.009792392964140846
332,Fe,258.6650085449219,4.793235778808594,2047.0,-0.6304741587982079,0.31882358115468573,0.49019671260858855,-0.47109839621290917,0.23284607359794812,1169.0,0.3493723849372385,0.6117752540346683,0.025122351944446564,0.005576631070809589
360,Fe,275.6549987792969,5.48413610458374,1490.0,-1.015915184956306,0.3729624414272467,0.7510834329488381,-0.4597608282615724,0.2290416225242343,1856.0,0.5546921697549313,0.44530783024506876,0.07518309727311134,0.0089753130059659
420,Fe,299.5299987792969,4.190860748291016,1844.0,-0.8513977265168045,0.6336489657335678,0.4881098604270977,,,,0.0,0.5511057979677226,0.4595212936401367,0.0026623313132131303
473,Fe,322.6719970703125,6.241628646850586,3309.0,-0.08358613232469736,0.21757632895069853,0.1992172792544433,,,,0.0,0.9889420203227735,0.09376151114702225,0.9990085074326145
539,Fe,356.6400146484375,4.43461275100708,2643.0,-0.09228892730609317,0.1103047312865291,0.11829378510684878,,,,0.0,0.7898983861326958,0.062230270355939865,0.001955947484025508
558,Fe,363.25,4.37135124206543,31.0,-0.8813499380521002,0.8932045491139782,,0.21375222287610285,0.11138860522062215,3271.0,0.9775851763299462,0.009264793783622235,0.15368901193141937,0.9970231130197058
577,Fe,372.0989990234375,3.332019567489624,391.0,-0.17880232360459303,0.14319696350794187,0.11430574824661369,-0.3029504783276096,0.11990196653266849,2876.0,0.8595337716676629,0.11685594739988045,0.1290436089038849,0.0026753984691820117
585,Fe,375.05499267578125,4.220362186431885,3146.0,-0.13326342293715498,0.11340592387469423,0.3314604339436727,0.14655239864827152,0.12039222806638535,199.0,0.05947399880454274,0.9402271368798566,0.010261883959174156,0.0015271187047093408
600,Fe,382.1510009765625,4.1033735275268555,132.0,-0.199554115906043,2.2739301962711456,0.11675431616549267,0.28050955833317914,0.09395255371112661,3198.0,0.9557680812910938,0.03945008965929468,0.20896394550800323,0.9951951012152287
676,Fe,404.6960144042969,4.548506259918213,175.0,-0.5889115816211223,0.551823852282952,0.5004824554029297,-0.08018207420746393,0.09119371192699668,3125.0,0.9339509862522415,0.05230125523012552,0.4194224178791046,0.0031722779668860116
