group,n,ln_ratio,ratio,sigma
all,79715,-0.1972612716670103,0.8209761074929387,0.3599757193708364
Al,1615,-1.2600714147732217,0.28363377013510493,1.8747862252219667
B,40,-0.5277437303356078,0.5899345205643821,0.07804955940727909
C,595,-0.4830325467733331,0.6169097446251747,0.16816439950440384
Co,5068,-1.9382238209783846,0.14395942053235536,2.5072481875237016
Cr,11459,-0.3038018015331089,0.7380071238366167,0.30845791504450865
Cu,3967,-0.28946124373021853,0.7486668078814143,0.33098116290357754
Fe,29893,-0.09281637774510308,0.9113608310636686,0.2850198159881836
Mn,5365,-0.11474733917760244,0.8915913856634937,0.3198929328940584
Ni,9182,-0.09125826813876742,0.9127819379620395,0.4803198720406707
Si,4934,-0.2702192188064981,0.7632121655366796,0.41867509905529315
Ti,5348,-0.30516422666245957,0.7370023290197413,0.3435390273830914
V,814,-0.18485892243186053,0.8312215422944352,0.21863360991962022
W,1435,0.08023118532224384,1.0835375366960467,0.13881137105811067
