line,el,wl,Ek,n,bias,scatter,within,bias_direct,scatter_direct,n_direct,f_direct,f_rescued,blend_median,weight
33,Fe,155.90899658203125,8.184540748596191,2763.0,-0.7169985807915253,0.3369988323123097,0.33914906902105274,,,,0.0,0.8257621040047818,0.12539754807949066,0.00312895336004488
39,Fe,156.37899780273438,8.229738235473633,3346.0,-0.5598866872080777,0.31820814834738625,0.2684207325241559,,,,0.0,1.0,0.005172685021534562,0.0032734526553453163
41,Fe,156.6820068359375,8.145272254943848,3346.0,-0.38337503300756026,0.31241760759148485,0.2683250906045881,,,,0.0,1.0,0.037478137761354446,0.0028997734168656718
45,Fe,158.4949951171875,8.174447059631348,3346.0,-0.1166726264297111,0.33395322635815844,0.2608214879005973,,,,0.0,1.0,0.04685750976204872,0.0018917204631968964
46,Fe,158.82899475097656,8.19266128540039,3346.0,0.03231730899331353,0.32791758319494746,0.2628317368627329,,,,0.0,1.0,0.004237917251884937,0.005224110276648232
52,Fe,160.84500122070312,7.708299160003662,2263.0,-0.5953287123133606,0.346384697868199,0.30441865226580345,-0.46078619955946465,0.2551364500013921,1083.0,0.3236700537955768,0.6763299462044232,0.0680796280503273,0.0034819397445841156
53,Fe,161.8470001220703,7.708299160003662,1794.0,-0.15916674339511871,0.35736620962585963,0.29070140786230125,-0.13911519499021807,0.24260655035455997,1552.0,0.4638374178123132,0.5361625821876868,0.08142992109060287,0.00222949725204914
54,Fe,162.16900634765625,7.693100929260254,2943.0,-0.5072178731972485,0.5997170926671471,0.5231379926244719,-0.2341452052819264,0.16231667793747745,92.0,0.02749551703526599,0.879557680812911,0.1852482706308365,0.0026694832644318517
56,Fe,162.552001953125,7.928641319274902,3346.0,0.03807591060468951,0.31271836977596024,0.25203223345287723,,,,0.0,1.0,0.1464395821094513,0.0052923763634895775
78,Fe,171.3000030517578,7.53913688659668,1640.0,-0.10204127457011225,0.3106269055024544,0.25013735274326837,-0.23647055184778765,0.26783193762137314,1706.0,0.5098625224148237,0.49013747758517634,0.0748257040977478,0.0023503394310337034
93,Fe,179.33700561523438,8.943026542663574,235.0,0.7044848388593294,0.38697143881504453,0.26612181722995054,0.5740047711473579,0.3968749391930721,3111.0,0.9297668858338315,0.07023311416616856,0.10575582832098007,0.9865950355875369
