"Element"	"Eion"	"Eion_sd"
"Rf+I"	6.02	0.04
"Cm+I"	5.992241	2e-05
"U+I"	6.19405	6e-05
"Ra+I"	5.2784239	2.5e-06
"Po+I"	8.41807	4e-06
"Hg+I"	10.437504	6e-06
"Os+I"	8.43823	2e-04
"Hf+I"	6.82507	1.2e-05
"Er+I"	6.1077	0.001
"Gd+I"	6.1498	4e-05
"Nd+I"	5.52475	5e-05
"Ba+I"	5.2116646	1.2e-06
"Te+I"	9.009808	6e-06
"Cd+I"	8.99382	1.6e-05
"Ru+I"	7.3605	5e-05
"Zr+I"	6.634126	5e-06
"Kr+I"	13.9996055	2e-06
"Ge+I"	7.899435	1.2e-05
"Ni+I"	7.639878	1.7e-05
"Cr+I"	6.76651	4e-05
"Ca+I"	6.113154921	5e-10
"S+I"	10.3600167	1.4e-06
"Mg+I"	7.646236	4e-06
"O+I"	13.618055	7e-06
"Be+I"	9.322699	7e-06
"Lr+I"	4.96	0.05
"Es+I"	6.3684	6e-05
"Am+I"	5.97381	0.00025
"Fr+I"	4.0727411	1.1e-06
"Bi+I"	7.285516	6e-06
"Au+I"	9.225554	4e-06
"Re+I"	7.83352	0.00011
"Lu+I"	5.425871	1.2e-05
"Ho+I"	6.0215	6e-04
"Eu+I"	5.670385	5e-06
"Cs+I"	3.89390572743	1.7e-10
"Sb+I"	8.608389	1.2e-05
"Ag+I"	7.576234	2.5e-05
"Tc+I"	7.11938	3e-05
"Y+I"	6.21726	1e-04
"Br+I"	11.81381	6e-05
"Ga+I"	5.999302	1.2e-06
"Co+I"	7.88101	0.00012
"V+I"	6.746187	2.1e-05
"K+I"	4.34066373	9e-08
"P+I"	10.486686	1.5e-05
"Na+I"	5.13907696	2.5e-07
"N+I"	14.53413	4e-05
"Li+I"	5.391714996	2.2e-08
"No+I"	6.62621	5e-05
"Cf+I"	6.281878	6e-06
"Pu+I"	6.02576	0.00025
"Th+I"	6.3067	0.00025
"Pb+I"	7.4166799	6e-07
"Pt+I"	8.95883	1e-04
"W+I"	7.86403	1e-04
"Yb+I"	6.25416	1.2e-05
"Dy+I"	5.939061	6e-06
"Sm+I"	5.643722	2.1e-05
"Ce+I"	5.5386	4e-04
"Xe+I"	12.1298437	1.5e-06
"Sn+I"	7.343918	1.2e-05
"Pd+I"	8.336839	1e-05
"Mo+I"	7.09243	4e-05
"Sr+I"	5.69486745	1.2e-07
"Se+I"	9.752368	6e-06
"Zn+I"	9.394197	6e-06
"Fe+I"	7.9024681	1.2e-06
"Ti+I"	6.82812	1.2e-05
"Ar+I"	15.7596119	5e-07
"Si+I"	8.15168	3e-05
"Ne+I"	21.564541	7e-06
"C+I"	11.260288	1.1e-06
"He+I"	24.587389011	2.5e-08
"Db+I"	6.8	0.5
"Bk+I"	6.19785	0.00025
"Np+I"	6.265608	1.9e-05
"Ac+I"	5.380235	1.2e-05
"At+I"	9.31751	8e-05
"Tl+I"	6.1082873	1.2e-06
"Ir+I"	8.96702	0.00022
"Ta+I"	7.549571	2.5e-05
"Tm+I"	6.184402	9e-06
"Tb+I"	5.8638	6e-04
"Pm+I"	5.58187	4e-05
"La+I"	5.5769	6e-04
"I+I"	10.451236	2.5e-05
"In+I"	5.7863558	5e-07
"Rh+I"	7.4589	5e-05
"Nb+I"	6.75885	4e-05
"Rb+I"	4.1771281	1.2e-06
"As+I"	9.78855	0.00025
"Cu+I"	7.72638	4e-06
"Mn+I"	7.434038	1.2e-06
"Sc+I"	6.56149	6e-05
"Cl+I"	12.967633	1.6e-05
"Al+I"	5.985769	3e-06
"F+I"	17.42282	5e-05
"B+I"	8.298019	3e-06
"H+I"	13.598434599702	1.2e-11
"Pr+I"	5.4702	0.0004
